项目ID,请求专业类型,学校,学院,项目名称,标准项目名称,方向,项目类型,年份,录取分析标题,总成绩计算方式,分数段,拟录人数,进入复试人数,分段录取率,来源网站,更新时间
127,MBA,清华大学,经济管理学院,清华全球MBA项目,清华全球MBA项目,nan,全日制,2025,MBA(全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,230-239,7,10,70.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华全球MBA项目,清华全球MBA项目,nan,全日制,2025,MBA(全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,240以上,5,6,83.33,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,0-150,0,2,0.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,151-159,0,10,0.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,160-169,3,10,30.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,170-179,8,23,34.78,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,180-189,25,62,40.32,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,190-199,45,71,63.38,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,200-209,54,58,93.1,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,210-219,38,40,95.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,220-229,24,24,100.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,230-239,16,16,100.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华MBA项目,清华MBA项目,nan,非全日制,2025,MBA(非全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,240以上,5,5,100.0,MBA大师,2025-06-24 16:07:34
126,MBA,清华大学,五道口金融学院,清华-康奈尔双学位金融MBA项目,清华-康奈尔双学位金融MBA项目,康奈尔双学位金融MBA项目,非全日制,2025,MBA(非全),,0-150,27,0,0.0,MBA大师,2026-03-12 17:36:35
126,MBA,清华大学,五道口金融学院,清华-康奈尔双学位金融MBA项目,清华-康奈尔双学位金融MBA项目,康奈尔双学位金融MBA项目,非全日制,2025,MBA(非全),,151-159,34,0,0.0,MBA大师,2026-03-12 17:36:35
126,MBA,清华大学,五道口金融学院,清华-康奈尔双学位金融MBA项目,清华-康奈尔双学位金融MBA项目,康奈尔双学位金融MBA项目,非全日制,2025,MBA(非全),,160-169,45,0,0.0,MBA大师,2026-03-12 17:36:35
126,MBA,清华大学,五道口金融学院,清华-康奈尔双学位金融MBA项目,清华-康奈尔双学位金融MBA项目,康奈尔双学位金融MBA项目,非全日制,2025,MBA(非全),,170-179,46,0,0.0,MBA大师,2026-03-12 17:36:35
126,MBA,清华大学,五道口金融学院,清华-康奈尔双学位金融MBA项目,清华-康奈尔双学位金融MBA项目,康奈尔双学位金融MBA项目,非全日制,2025,MBA(非全),,180-189,34,0,0.0,MBA大师,2026-03-12 17:36:35
126,MBA,清华大学,五道口金融学院,清华-康奈尔双学位金融MBA项目,清华-康奈尔双学位金融MBA项目,康奈尔双学位金融MBA项目,非全日制,2025,MBA(非全),,190-199,16,0,0.0,MBA大师,2026-03-12 17:36:35
126,MBA,清华大学,五道口金融学院,清华-康奈尔双学位金融MBA项目,清华-康奈尔双学位金融MBA项目,康奈尔双学位金融MBA项目,非全日制,2025,MBA(非全),,200-209,15,0,0.0,MBA大师,2026-03-12 17:36:35
