学校,学院,专业类型,招生人数,学费,城市,性质,项目ID,详情页,大学ID,大学名称,学院专业列表,学院招生年份
复旦大学,泛海国际金融学院,MBA,"全日制:21人,非全日制:100人",4.5万-83.9万,上海市,"985,211,双一流",574,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=574,155,复旦大学,MBA、EMBA,2026
复旦大学,管理学院,MBA,"全日制:83人,非全日制:758人",4.5万-83.9万,上海市,"985,211,双一流",573,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=573,155,复旦大学,MBA、MPAcc、EMBA,2026
同济大学,经济与管理学院,MBA,"全日制:27人,非全日制:151人",16.8万-63.8万,"上海市,上海,深圳,福州","985,211,双一流",575,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=575,156,同济大学,EMBA、MEM、MPAcc、MPA、MBA,2026
上海交通大学,安泰经济与管理学院,MBA,"全日制:83人,非全日制:706人",6.0万-82.8万,上海市,"985,211,双一流",614,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=614,157,上海交通大学,MAud、MBA、EMBA、MPAcc,2026
上海交通大学,上海高级金融学院,MBA,"全日制:43人,非全日制:405人",6.0万-82.8万,"上海市,上海,北京,深圳","985,211,双一流",1916,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1916,157,上海交通大学,EMBA、MBA,2026
华东师范大学,经济与管理学院,MBA,"非全日制:291人,全日制:140人",7.6万-33.8万,上海市,"985,211,双一流",1873,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1873,162,华东师范大学,MPAcc、MLIS、MTA、MBA,2026
华东理工大学,商学院,MBA,全日制:225人,7.5万-48.8万,上海市,"211,双一流",577,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=577,158,华东理工大学,MPAcc、MBA、MEM,2026
华东理工大学,商学院专业学位中心,MBA,非全日制:160人,7.5万-48.8万,上海市,"211,双一流",32100,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=32100,158,华东理工大学,MEM、MPAcc、MBA、EMBA,2026
上海理工大学,管理学院专业学位教育中心,MBA,"全日制:50人,非全日制:50人",10.8万-22.8万,上海市,,605,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=605,159,上海理工大学,MBA、MPA、MEM、MPAcc,2026
上海海事大学,经济管理学院MBA教育中心,MBA,非全日制:55人,4.8万-24.8万,上海市,,582,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=582,160,上海海事大学,MBA,2026
东华大学,旭日工商管理学院,MBA,全日制:160人,10.8万-29.8万,上海市,"211,双一流",580,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=580,161,东华大学,MBA、MEM、MPAcc,2026
东华大学,MBA中心,MBA,非全日制:80人,10.8万-29.8万,上海市,"211,双一流",33200,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=33200,161,东华大学,MBA、EMBA、MEM,2026
上海师范大学,商学院,MBA,"全日制:30人,非全日制:90人",5.0万-16.0万,上海市,,615,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=615,163,上海师范大学,MBA、MPAcc,2026
上海师范大学,退役军人学院,MBA,非全日制:10人,5.0万-16.0万,上海市,,1920,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1920,163,上海师范大学,MPA、MBA,2026
上海外国语大学,MBA教育中心,MBA,"全日制:132人,非全日制:23人",9.8万-35.0万,上海市,"211,双一流",578,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=578,164,上海外国语大学,MBA,2026
上海财经大学,商学院,MBA,"全日制:90人,非全日制:287人",10.0万-53.8万,上海市,"211,双一流",579,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=579,165,上海财经大学,EMBA、MBA,2026
上海财经大学,滴水湖高级金融学院,MBA,全日制:40人,10.0万-53.8万,上海市,"211,双一流",34700,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=34700,165,上海财经大学,MBA、EMBA,2026
上海对外经贸大学,MBA教育中心,MBA,"非全日制:28人,全日制:104人",7.8万-20.8万,上海市,,583,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=583,166,上海对外经贸大学,MBA,2026
上海体育大学,经济管理学院,MBA,"全日制:14人,非全日制:15人",7.5万-12.8万,上海市,,634,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=634,167,上海体育大学,MTA、MBA,2026
上海大学,MBA中心,MBA,"全日制:120人,非全日制:130人",5.0万-28.8万,上海市,"211,双一流",581,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=581,168,上海大学,MBA,2026
上海工程技术大学,管理学院,MBA,"全日制:101人,非全日制:17人",5.0万-18.8万,上海市松江区,,1835,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1835,169,上海工程技术大学,MPA、MEM、MBA,2026
上海商学院,工商管理学院,MBA,全日制:30人,5.4万-14.8万,上海市,,157503,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157503,176,上海商学院,MBA,2026
南京大学,商学院,MBA,非全日制:446人,3.0万-50.8万,"南京市,苏州市","985,211,双一流",51,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=51,180,南京大学,MAud、EMBA、MPAcc、MBA,2026
东南大学,经济管理学院MBA中心,MBA,非全日制:320人,3.0万-29.0万,"南京市,无锡市,苏州市","985,211,双一流",52,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=52,182,东南大学,MBA、MPAcc、EMBA,2026
苏州大学,商学院,MBA,非全日制:280人,3.0万-20.4万,江苏省苏州市,"211,双一流",53,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=53,181,苏州大学,MPAcc、MBA,2026
南京航空航天大学,MBA中心,MBA,非全日制:250人,2.0万-18.8万,江苏省南京市,"211,双一流",38500,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=38500,183,南京航空航天大学,MBA、MEM、MPAcc,2026
南京理工大学,经济管理学院,MBA,非全日制:180人,2.5万-26.0万,"南京市,江阴市","211,双一流",55,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=55,184,南京理工大学,EMBA、MEM、MLIS、MPAcc、MBA,2026
江苏科技大学,经济管理学院,MBA,"全日制:46人,非全日制:76人",3.0万-9.0万,江苏省镇江市,,67,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=67,185,江苏科技大学,MBA、MEM、MPAcc,2026
中国矿业大学,经济管理学院,MBA,非全日制:110人,3.0万-9.0万,江苏省徐州市,"211,双一流",59,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=59,186,中国矿业大学,MBA、MEM、MPAcc,2026
南京工业大学,经济与管理学院,MBA,非全日制:40人,2.4万-9.0万,江苏省南京市,,61,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=61,187,南京工业大学,MPAcc、MEM、MBA,2026
常州大学,商学院,MBA,非全日制:45人,2.4万-9.0万,江苏省常州市,,111,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=111,188,常州大学,MPAcc、MEM、MBA,2026
南京邮电大学,管理学院,MBA,非全日制:79人,3.0万-9.9万,江苏省南京市,双一流,93,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=93,189,南京邮电大学,MBA、MEM、MPAcc,2026
南京邮电大学,南京邮电大学-南京市浦口区联合培养“浦芯精英”专项计划,MBA,非全日制:10人,3.0万-9.9万,江苏省南京市,双一流,40400,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=40400,189,南京邮电大学,MBA、MEM,2026
河海大学,商学院,MBA,"全日制:38人,非全日制:120人",3.0万-23.0万,"江苏省南京市,常州市,苏州市,拟","211,双一流",105,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=105,190,河海大学,MBA、MPAcc、MLIS、MEM,2026
江南大学,商学院,MBA,非全日制:138人,3.0万-53.5万,江苏无锡,"211,双一流",57,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=57,191,江南大学,MPAcc、MEM、MBA,2026
南京林业大学,经济管理学院,MBA,非全日制:140人,4.5万-9.6万,南京,双一流,89,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=89,192,南京林业大学,MPAcc、MBA,2026
江苏大学,管理学院,MBA,非全日制:120人,3.0万-10.8万,江苏省镇江市,,116,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=116,193,江苏大学,MPA、MEM、MBA,2026
南京信息工程大学,商学院,MBA,"全日制:40人,非全日制:100人",3.0万-10.5万,江苏省南京市,双一流,65,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=65,194,南京信息工程大学,MPAcc、MAud、MBA,2026
南京农业大学,经济管理学院,MBA,非全日制:170人,3.0万-11.6万,江苏省南京市,"211,双一流",58,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=58,195,南京农业大学,MBA,2026
南京师范大学,商学院,MBA,非全日制:180人,3.0万-12.2万,江苏省南京市,"211,双一流",56,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=56,196,南京师范大学,MBA,2026
南京财经大学,MBA教育中心,MBA,"全日制:113人,非全日制:77人",2.0万-25.8万,江苏省南京市,,1841,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1841,197,南京财经大学,MBA、MPAcc,2026
苏州科技大学,商学院,MBA,非全日制:43人,3.0万-9.0万,江苏省苏州市,,1842,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1842,198,苏州科技大学,MTA、MBA,2026
扬州大学,商学院,MBA,非全日制:83人,3.0万-9.0万,江苏省扬州市,,43300,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=43300,199,扬州大学,MBA、MPA、MPAcc,2026
南京审计大学,MBA教育中心,MBA,非全日制:40人,3.0万-15.0万,江苏省南京市,,69,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=69,200,南京审计大学,MBA,2026
浙江大学,管理学院,MBA,"全日制:88人,非全日制:590人",4.0万-52.8万,浙江省杭州市,"985,211,双一流",641,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=641,211,浙江大学,MBA、EMBA、MPAcc,2026
杭州电子科技大学,管理学院MBA教育中心,MBA,非全日制:70人,2.5万-11.5万,浙江省杭州市,,796,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=796,212,杭州电子科技大学,MBA、MEM,2026
浙江工业大学,MBA教育中心,MBA,非全日制:293人,2.0万-15.8万,浙江省杭州市,,673,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=673,213,浙江工业大学,MEM、MBA,2026
浙江理工大学,经济管理学院,MBA,"全日制:21人,非全日制:58人",2.4万-8.5万,浙江省杭州市,,645,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=645,214,浙江理工大学,MBA、MPAcc、MEM,2026
浙江师范大学,经济与管理学院,MBA,非全日制:100人,2.4万-8.5万,浙江省杭州市,,642,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=642,215,浙江师范大学,MTA、MBA,2026
浙江工商大学,工商管理学院（MBA学院）,MBA,"全日制:102人,非全日制:225人",2.5万-15.8万,浙江省杭州市,,646,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=646,216,浙江工商大学,MBA,2026
中国计量大学,经济与管理学院,MBA,非全日制:54人,3.0万-7.5万,浙江省杭州市,,1844,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1844,217,中国计量大学,MBA,2026
浙江财经大学,工商管理学院（MBA学院）,MBA,非全日制:109人,3.0万-12.8万,浙江省杭州市,,647,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=647,218,浙江财经大学,MBA,2026
宁波大学,商学院,MBA,非全日制:126人,2.0万-12.8万,浙江省宁波市,双一流,663,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=663,219,宁波大学,MPAcc、MBA,2026
杭州师范大学,阿里巴巴商学院,MBA,非全日制:38人,7.0万-15.0万,浙江杭州,,157532,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157532,485,杭州师范大学,MBA,2026
中山大学,管理学院（专业学位）,MBA,"全日制:30人,非全日制:365人",4.5万-53.8万,广东省广州,"985,211,双一流",280,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=280,351,中山大学,MBA、EMBA、MPAcc、MAud,2025
中山大学,商学院,MBA,非全日制 :80人,4.5万-53.8万,广东省深圳市,"985,211,双一流",1849,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1849,351,中山大学,MBA,2025
华南理工大学,工商管理学院,MBA,"全日制:30人,非全日制:360人",6.7万-41.8万,广东省广州市,"985,211,双一流",305,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=305,354,华南理工大学,EMBA、MPAcc、MEM、MBA,2026
华南理工大学,经济与金融学院,MBA,非全日制:100人,6.7万-41.8万,广东省广州市,"985,211,双一流",308,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=308,354,华南理工大学,MEM、MBA,2026
暨南大学,管理学院,MBA,"全日制:25人,非全日制:389人",4.0万-32.8万,广东省广州市,"211,双一流",302,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=302,352,暨南大学,MBA、EMBA、MEM、MPAcc、MAud,2026
汕头大学,商学院,MBA,非全日制:83人,3.6万-15.0万,广东省汕头市,,282,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=282,353,汕头大学,MBA、MEM、MPAcc,2026
华南农业大学,经济管理学院,MBA,非全日制:100人,2.4万-13.8万,广东省广州市,双一流,297,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=297,355,华南农业大学,MPAcc、MBA,2026
华南师范大学,经济与管理学院,MBA,"全日制:60人,非全日制:50人",7.0万-24.0万,广东省广州市,"211,双一流",281,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=281,356,华南师范大学,MPAcc、MBA,2026
深圳大学,管理学院,MBA,全日制:30人,5.6万-29.8万,深圳市,,290,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=290,357,深圳大学,MBA,2026
深圳大学,医院管理研究院,MBA,非全日制:15人,5.6万-29.8万,深圳市,,83000,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=83000,357,深圳大学,MBA,2026
广东财经大学,工商管理学院/粤商学院,MBA,"全日制:30人,非全日制:75人",3.6万-16.8万,广东省广州,,285,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=285,358,广东财经大学,MBA、MEM,2025
广东财经大学,研究生院佛山分院,MBA,全日制:35人,3.6万-16.8万,广东省广州市,,83400,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=83400,358,广东财经大学,MBA、MPA,2026
广州大学,管理学院,MBA,"全日制:25人,非全日制:105人",5.6万-15.0万,广东省广州市,,312,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=312,359,广州大学,MPAcc、MTA、MEM、MBA,2026
广东工业大学,管理学院,MBA,非全日制:123人,3.0万-19.8万,"广东省广州市,广东省揭阳市",,298,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=298,360,广东工业大学,MBA、MEM、MPAcc,2026
广东外语外贸大学,商学院,MBA,"全日制:61人,非全日制:16人",4.4万-22.8万,广东省广州市,,284,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=284,361,广东外语外贸大学,MBA,2026
广东金融学院,工商管理学院,MBA,全日制:28人,3.6万-5.6万,广东省广州市,,157408,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157408,367,广东金融学院,MBA,2026
南方科技大学,商学院,MBA,非全日制:48人,41.8万,广东省深圳市,,157409,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157409,480,南方科技大学,MBA,2026
中国科学技术大学,管理学院,MBA,"全日制:101人,非全日制:201人",7.8万-55.0万,"安徽省合肥市,合肥市,苏州市,上海市","985,211,双一流",333,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=333,231,中国科学技术大学,MEM、MBA、EMBA,2026
安徽大学,商学院,MBA,非全日制:112人,3.3万-12.0万,安徽省合肥市,"211,双一流",329,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=329,230,安徽大学,MPAcc、MBA,2026
合肥工业大学,管理学院MBAMPA中心,MBA,非全日制:300人,2.4万-15.0万,安徽省合肥市,"211,双一流",325,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=325,232,合肥工业大学,MEM、MPAcc、MPA、MBA,2026
安徽工业大学,商学院,MBA,非全日制:85人,3.3万-6.0万,安徽省马鞍山市,,322,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=322,233,安徽工业大学,MPAcc、MBA,2026
安徽工程大学,经济与管理学院,MBA,"全日制:24人,非全日制:18人",3.3万-4.5万,安徽省芜湖市,,1846,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1846,234,安徽工程大学,MBA,2026
安徽师范大学,经济管理学院,MBA,非全日制:100人,3.3万-6.5万,安徽省芜湖市,,330,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=330,235,安徽师范大学,MPAcc、MBA,2026
安徽财经大学,不区分院系所,MBA,"全日制:55人,非全日制:95人",2.2万-8.0万,安徽省蚌埠市,,328,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=328,236,安徽财经大学,MBA、MPA、MTA、MAud、MEM、MPAcc,2026
安徽理工大学,经济与管理学院,MBA,非全日制:27人,2.4万-6.0万,安徽省淮南市,,339,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=339,237,安徽理工大学,MPA、MEM、MBA,2026
安徽农业大学,经济管理学院,MBA,"全日制:17人,非全日制:40人",2.2万-12.9万,安徽省合肥市,,331,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=331,240,安徽农业大学,MBA、MPAcc,2025
西安交通大学,MBA中心,MBA,非全日制:590人,8.2万-35.8万,"陕西省西安市,山东省青岛市,河南省郑州市,广东省深圳市,江苏省苏州市","985,211,双一流",727,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=727,434,西安交通大学,EMBA、MBA,2026
西北工业大学,管理学院,MBA,非全日制:333人,2.4万-24.8万,陕西省西安市,"985,211,双一流",386,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=386,435,西北工业大学,EMBA、MEM、MPAcc、MBA,2026
西北农林科技大学,经济管理学院,MBA,非全日制:150人,6.0万-8.8万,陕西省西安市,"985,211,双一流",387,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=387,445,西北农林科技大学,MBA,2026
西北大学,MBA教育中心,MBA,"全日制:155人,非全日制:140人",3.9万-16.0万,陕西省西安市,"211,双一流",389,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=389,433,西北大学,MBA、EMBA,2026
西安理工大学,经济与管理学院,MBA,全日制:160人,3.6万-18.0万,陕西省西安市,,393,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=393,436,西安理工大学,MPAcc、MBA,2026
西安理工大学,经济与管理学院专业学位中心（MBA教育中心）,MBA,非全日制:146人,3.6万-18.0万,陕西省西安市,,100500,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=100500,436,西安理工大学,MEM、MPAcc、MBA、EMBA,2026
西安电子科技大学,经济与管理学院,MBA,非全日制:123人,2.4万-12.0万,陕西省西安市,"211,双一流",388,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=388,437,西安电子科技大学,MBA、MPA、MLIS、MEM,2026
西安工业大学,经济管理学院,MBA,非全日制:82人,2.4万-6.0万,陕西省西安市,,399,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=399,438,西安工业大学,MPAcc、MEM、MBA,2026
西安建筑科技大学,管理学院,MBA,"全日制:20人,非全日制:85人",3.6万-8.6万,陕西省西安市,,394,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=394,439,西安建筑科技大学,MEM、MBA,2026
西安科技大学,管理学院,MBA,非全日制:162人,2.4万-6.0万,陕西省西安市,,414,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=414,440,西安科技大学,MBA、MEM、MPAcc,2026
西安石油大学,经济管理学院,MBA,非全日制:115人,3.6万-6.6万,陕西省西安市,,398,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=398,441,西安石油大学,MBA、MPAcc,2026
陕西科技大学,经济与管理学院,MBA,非全日制:78人,3.5万-6.5万,陕西省西安市,,395,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=395,442,陕西科技大学,MBA,2026
西安工程大学,管理学院,MBA,"全日制:8人,非全日制:78人",3.6万-4.5万,陕西省西安市,,397,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=397,443,西安工程大学,MBA、MPAcc,2026
长安大学,经济与管理学院,MBA,非全日制:115人,3.9万-11.8万,陕西省西安市,"211,双一流",391,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=391,444,长安大学,MEM、MPAcc、MBA,2026
陕西师范大学,国际商学院,MBA,非全日制:110人,3.9万-12.4万,陕西省西安市,"211,双一流",390,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=390,446,陕西师范大学,MPAcc、MBA,2026
延安大学,经济与管理学院,MBA,"全日制:27人,非全日制:30人",3.6万-6.0万,陕西省延安市,,411,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=411,447,延安大学,MPAcc、MBA,2026
西安财经大学,商学院,MBA,全日制:33人,2.4万-7.0万,陕西省西安市,,392,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=392,448,西安财经大学,MBA、MAud、MPAcc,2026
西安财经大学,非全日制教育中心,MBA,非全日制:30人,2.4万-7.0万,陕西省西安市,,157526,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157526,448,西安财经大学,MPAcc、MBA,2026
西安邮电大学,经济与管理学院,MBA,非全日制:50人,3.6万-6.0万,陕西省西安市,,413,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=413,449,西安邮电大学,MBA、MPAcc、MPA,2026
陕西理工大学,经济管理与法学学院,MBA,全日制:3人,3.6万-6.0万,陕西省西安市,,410,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=410,453,陕西理工大学,MPAcc、MBA,2026
陕西理工大学,继续教育学院,MBA,非全日制:12人,3.6万-6.0万,陕西省西安市,,104300,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=104300,453,陕西理工大学,MPAcc、MBA,2026
西藏民族大学,管理学院,MBA,"全日制:12人,非全日制:14人",1.5万-3.0万,陕西省咸阳市,,477,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=477,459,西藏民族大学,MPA、MLIS、MTA、MBA,2026
河北大学,管理学院,MBA,"全日制:30人,非全日制:128人",1.4万-5.4万,河北省保定市,,225,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=225,68,河北大学,MBA、MPA、MPAcc、MAud、MLIS,2026
河北工程大学,管理工程与商学院,MBA,非全日制:115人,2.1万-5.4万,河北省邯郸市,,238,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=238,69,河北工程大学,MEM、MBA,2026
河北地质大学,管理学院,MBA,"全日制:57人,非全日制:128人",1.7万-7.7万,河北省石家庄市,,241,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=241,70,河北地质大学,MBA、MPAcc、MLIS、MEM,2026
河北工业大学,经济管理学院,MBA,"全日制:138人,非全日制:204人",2.1万-15.0万,天津,211,773,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=773,71,河北工业大学,EMBA、MPAcc、MEM、MBA,2026
河北科技大学,经济管理学院,MBA,非全日制:95人,1.7万-6.0万,河北省石家庄市,,237,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=237,72,河北科技大学,MEM、MPA、MBA,2026
河北师范大学,商学院,MBA,非全日制:70人,1.4万-6.0万,河北省石家庄市,,220,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=220,73,河北师范大学,MPAcc、MBA,2026
石家庄铁道大学,管理学院,MBA,非全日制:129人,2.1万-6.0万,河北省石家庄市,,234,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=234,74,石家庄铁道大学,MBA、MEM,2026
燕山大学,经济管理学院,MBA,非全日制:142人,2.1万-6.0万,河北省秦皇岛市,,232,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=232,75,燕山大学,MBA、MPAcc、MEM,2026
河北经贸大学,工商管理学院,MBA,非全日制:123人,2.1万-6.0万,河北省石家庄市,,221,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=221,76,河北经贸大学,MBA,2026
山西大学,经济与管理学院,MBA,非全日制:150人,2.4万-6.6万,山西省太原市,双一流,496,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=496,81,山西大学,MBA、MPAcc、MLIS、MEM,2026
太原科技大学,经济与管理学院,MBA,非全日制:46人,2.4万-5.0万,山西省太原市,,506,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=506,82,太原科技大学,MBA、MEM,2026
太原理工大学,经济管理学院,MBA,非全日制:170人,2.4万-7.5万,山西省太原市,"211,双一流",494,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=494,83,太原理工大学,MBA、MEM、MPAcc,2026
山西财经大学,工商管理学院,MBA,非全日制:199人,1.6万-7.5万,山西省太原市,,495,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=495,84,山西财经大学,MBA,2026
大连理工大学,MBA-EMBA教育中心,MBA,"全日制:30人,非全日制:300人",9.0万-26.0万,辽宁省大连市,"985,211,双一流",447,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=447,102,大连理工大学,MBA、MEM、EMBA,2026
东北大学,工商管理学院,MBA,非全日制:290人,1.6万-12.0万,辽宁省沈阳市,"985,211,双一流",446,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=446,105,东北大学,MPAcc、MEM、MBA,2026
辽宁大学,商学院,MBA,非全日制:169人,3.6万-10.0万,辽宁省沈阳市,"211,双一流",449,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=449,101,辽宁大学,MBA、MAud、MTA、MPAcc,2026
沈阳工业大学,MBA教育中心,MBA,"全日制:57人,非全日制:51人",4.4万-6.5万,辽宁省沈阳市,,452,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=452,103,沈阳工业大学,MBA,2026
沈阳理工大学,经济管理学院,MBA,非全日制:33人,3.6万-4.3万,辽宁省沈阳市,,454,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=454,104,沈阳理工大学,MBA、MPAcc,2026
